,Sample.Type
8,Solid Tissue Normal
13,Solid Tissue Normal
28,Solid Tissue Normal
166,Solid Tissue Normal
172,Solid Tissue Normal
196,Solid Tissue Normal
203,Solid Tissue Normal
221,Solid Tissue Normal
229,Solid Tissue Normal
232,Solid Tissue Normal
301,Solid Tissue Normal
305,Solid Tissue Normal
306,Solid Tissue Normal
365,Solid Tissue Normal
375,Solid Tissue Normal
391,Solid Tissue Normal
405,Solid Tissue Normal
410,Solid Tissue Normal
421,Solid Tissue Normal
1,Transcriptome Profiling
2,Transcriptome Profiling
3,Transcriptome Profiling
4,Transcriptome Profiling
5,Transcriptome Profiling
6,Transcriptome Profiling
7,Transcriptome Profiling
9,Transcriptome Profiling
10,Transcriptome Profiling
11,Transcriptome Profiling
12,Transcriptome Profiling
14,Transcriptome Profiling
15,Transcriptome Profiling
16,Transcriptome Profiling
17,Transcriptome Profiling
18,Transcriptome Profiling
19,Transcriptome Profiling
20,Transcriptome Profiling
21,Transcriptome Profiling
22,Transcriptome Profiling
23,Transcriptome Profiling
24,Transcriptome Profiling
25,Transcriptome Profiling
26,Transcriptome Profiling
27,Transcriptome Profiling
29,Transcriptome Profiling
30,Transcriptome Profiling
31,Transcriptome Profiling
32,Transcriptome Profiling
33,Transcriptome Profiling
34,Transcriptome Profiling
35,Transcriptome Profiling
36,Transcriptome Profiling
37,Transcriptome Profiling
38,Transcriptome Profiling
39,Transcriptome Profiling
40,Transcriptome Profiling
41,Transcriptome Profiling
42,Transcriptome Profiling
43,Transcriptome Profiling
44,Transcriptome Profiling
45,Transcriptome Profiling
46,Transcriptome Profiling
47,Transcriptome Profiling
48,Transcriptome Profiling
49,Transcriptome Profiling
50,Transcriptome Profiling
51,Transcriptome Profiling
52,Transcriptome Profiling
53,Transcriptome Profiling
54,Transcriptome Profiling
55,Transcriptome Profiling
56,Transcriptome Profiling
57,Transcriptome Profiling
58,Transcriptome Profiling
59,Transcriptome Profiling
60,Transcriptome Profiling
61,Transcriptome Profiling
62,Transcriptome Profiling
63,Transcriptome Profiling
64,Transcriptome Profiling
65,Transcriptome Profiling
66,Transcriptome Profiling
67,Transcriptome Profiling
68,Transcriptome Profiling
69,Transcriptome Profiling
70,Transcriptome Profiling
71,Transcriptome Profiling
72,Transcriptome Profiling
73,Transcriptome Profiling
74,Transcriptome Profiling
75,Transcriptome Profiling
76,Transcriptome Profiling
77,Transcriptome Profiling
78,Transcriptome Profiling
79,Transcriptome Profiling
80,Transcriptome Profiling
81,Transcriptome Profiling
82,Transcriptome Profiling
83,Transcriptome Profiling
84,Transcriptome Profiling
85,Transcriptome Profiling
86,Transcriptome Profiling
87,Transcriptome Profiling
88,Transcriptome Profiling
89,Transcriptome Profiling
90,Transcriptome Profiling
91,Transcriptome Profiling
92,Transcriptome Profiling
93,Transcriptome Profiling
94,Transcriptome Profiling
95,Transcriptome Profiling
96,Transcriptome Profiling
97,Transcriptome Profiling
98,Transcriptome Profiling
99,Transcriptome Profiling
100,Transcriptome Profiling
101,Transcriptome Profiling
102,Transcriptome Profiling
103,Transcriptome Profiling
104,Transcriptome Profiling
105,Transcriptome Profiling
106,Transcriptome Profiling
107,Transcriptome Profiling
108,Transcriptome Profiling
109,Transcriptome Profiling
110,Transcriptome Profiling
111,Transcriptome Profiling
112,Transcriptome Profiling
113,Transcriptome Profiling
114,Transcriptome Profiling
115,Transcriptome Profiling
116,Transcriptome Profiling
117,Transcriptome Profiling
118,Transcriptome Profiling
119,Transcriptome Profiling
120,Transcriptome Profiling
121,Transcriptome Profiling
122,Transcriptome Profiling
123,Transcriptome Profiling
125,Transcriptome Profiling
126,Transcriptome Profiling
127,Transcriptome Profiling
128,Transcriptome Profiling
129,Transcriptome Profiling
130,Transcriptome Profiling
131,Transcriptome Profiling
132,Transcriptome Profiling
133,Transcriptome Profiling
134,Transcriptome Profiling
135,Transcriptome Profiling
136,Transcriptome Profiling
137,Transcriptome Profiling
138,Transcriptome Profiling
139,Transcriptome Profiling
140,Transcriptome Profiling
141,Transcriptome Profiling
142,Transcriptome Profiling
143,Transcriptome Profiling
144,Transcriptome Profiling
145,Transcriptome Profiling
146,Transcriptome Profiling
147,Transcriptome Profiling
148,Transcriptome Profiling
149,Transcriptome Profiling
150,Transcriptome Profiling
151,Transcriptome Profiling
152,Transcriptome Profiling
153,Transcriptome Profiling
154,Transcriptome Profiling
155,Transcriptome Profiling
156,Transcriptome Profiling
157,Transcriptome Profiling
158,Transcriptome Profiling
159,Transcriptome Profiling
160,Transcriptome Profiling
161,Transcriptome Profiling
162,Transcriptome Profiling
163,Transcriptome Profiling
164,Transcriptome Profiling
165,Transcriptome Profiling
167,Transcriptome Profiling
168,Transcriptome Profiling
169,Transcriptome Profiling
170,Transcriptome Profiling
171,Transcriptome Profiling
173,Transcriptome Profiling
174,Transcriptome Profiling
175,Transcriptome Profiling
176,Transcriptome Profiling
177,Transcriptome Profiling
178,Transcriptome Profiling
179,Transcriptome Profiling
180,Transcriptome Profiling
181,Transcriptome Profiling
182,Transcriptome Profiling
183,Transcriptome Profiling
184,Transcriptome Profiling
185,Transcriptome Profiling
186,Transcriptome Profiling
187,Transcriptome Profiling
188,Transcriptome Profiling
189,Transcriptome Profiling
190,Transcriptome Profiling
191,Transcriptome Profiling
192,Transcriptome Profiling
193,Transcriptome Profiling
194,Transcriptome Profiling
195,Transcriptome Profiling
197,Transcriptome Profiling
199,Transcriptome Profiling
200,Transcriptome Profiling
201,Transcriptome Profiling
202,Transcriptome Profiling
204,Transcriptome Profiling
205,Transcriptome Profiling
206,Transcriptome Profiling
207,Transcriptome Profiling
208,Transcriptome Profiling
209,Transcriptome Profiling
210,Transcriptome Profiling
211,Transcriptome Profiling
212,Transcriptome Profiling
213,Transcriptome Profiling
214,Transcriptome Profiling
215,Transcriptome Profiling
216,Transcriptome Profiling
217,Transcriptome Profiling
218,Transcriptome Profiling
219,Transcriptome Profiling
220,Transcriptome Profiling
222,Transcriptome Profiling
223,Transcriptome Profiling
224,Transcriptome Profiling
225,Transcriptome Profiling
226,Transcriptome Profiling
227,Transcriptome Profiling
228,Transcriptome Profiling
230,Transcriptome Profiling
231,Transcriptome Profiling
233,Transcriptome Profiling
234,Transcriptome Profiling
235,Transcriptome Profiling
236,Transcriptome Profiling
237,Transcriptome Profiling
238,Transcriptome Profiling
239,Transcriptome Profiling
240,Transcriptome Profiling
241,Transcriptome Profiling
242,Transcriptome Profiling
243,Transcriptome Profiling
244,Transcriptome Profiling
245,Transcriptome Profiling
246,Transcriptome Profiling
247,Transcriptome Profiling
248,Transcriptome Profiling
250,Transcriptome Profiling
251,Transcriptome Profiling
252,Transcriptome Profiling
253,Transcriptome Profiling
254,Transcriptome Profiling
255,Transcriptome Profiling
256,Transcriptome Profiling
257,Transcriptome Profiling
258,Transcriptome Profiling
